customer_age_days,previous_orders,previous_returns,previous_refunds,return_ratio,refund_ratio,order_value,days_since_purchase,account_count,address_reuse_count,device_reuse_count,payment_failures,claim_type,product_category,is_abuse
1283,8,0,1,0.0,0.125,6326.27,22,1,1,1,0,not_as_described,home,0
1120,16,2,3,0.125,0.1875,2221.53,27,2,2,3,1,missing_item,beauty,1
559,8,1,5,0.125,0.625,4895.63,35,1,0,3,0,damaged,fashion,1
1290,17,1,2,0.058823529411764705,0.11764705882352941,6200.67,15,1,1,3,2,wrong_item,electronics,0
1268,13,1,0,0.07692307692307693,0.0,1743.67,53,2,0,4,0,missing_item,fashion,1
512,7,4,2,0.5714285714285714,0.2857142857142857,2872.29,57,1,0,3,2,changed_mind,beauty,1
976,6,2,1,0.3333333333333333,0.16666666666666666,2669.95,9,1,0,1,0,changed_mind,electronics,0
381,9,2,0,0.2222222222222222,0.0,1124.43,56,2,1,3,0,not_as_described,electronics,1
1248,15,0,1,0.0,0.06666666666666667,1386.94,7,1,1,3,0,damaged,electronics,0
778,9,2,1,0.2222222222222222,0.1111111111111111,1768.45,37,3,1,2,0,damaged,beauty,0
1267,10,0,0,0.0,0.0,2259.41,36,1,0,1,1,missing_item,fashion,0
1284,15,1,2,0.06666666666666667,0.13333333333333333,4064.5,11,1,0,1,1,damaged,electronics,0
1256,9,2,0,0.2222222222222222,0.0,2500.69,54,1,1,1,1,changed_mind,grocery,1
1403,20,1,0,0.05,0.0,9888.35,30,1,1,1,0,damaged,fashion,0
433,14,0,1,0.0,0.07142857142857142,1419.74,32,1,0,2,2,not_as_described,fashion,0
818,12,0,2,0.0,0.16666666666666666,2587.49,6,1,1,1,0,wrong_item,grocery,1
1393,6,6,0,1.0,0.0,4834.1,10,1,2,1,0,damaged,grocery,1
772,12,1,2,0.08333333333333333,0.16666666666666666,4512.95,40,1,2,2,1,not_as_described,grocery,0
1266,11,1,0,0.09090909090909091,0.0,3014.4,15,1,2,0,0,not_as_described,beauty,0
57,13,0,0,0.0,0.0,2789.13,24,2,1,1,0,wrong_item,beauty,0
713,16,2,4,0.125,0.25,893.47,38,1,2,3,0,wrong_item,home,0
150,12,0,1,0.0,0.08333333333333333,889.74,53,2,2,3,0,missing_item,home,0
1397,7,4,2,0.5714285714285714,0.2857142857142857,929.89,17,1,1,3,0,not_as_described,electronics,1
1035,7,1,0,0.14285714285714285,0.0,4064.25,23,3,2,2,0,damaged,beauty,1
476,11,1,1,0.09090909090909091,0.09090909090909091,682.11,4,2,0,2,2,damaged,home,0
279,17,0,1,0.0,0.058823529411764705,5371.95,25,1,1,2,1,changed_mind,fashion,0
358,21,1,2,0.047619047619047616,0.09523809523809523,2756.31,56,1,1,0,0,not_as_described,beauty,0
1307,10,1,0,0.1,0.0,773.94,55,1,2,1,0,damaged,electronics,0
1020,14,4,3,0.2857142857142857,0.21428571428571427,1890.88,5,1,1,3,2,not_as_described,electronics,0
1382,17,0,2,0.0,0.11764705882352941,405.41,59,1,1,0,1,damaged,home,0
902,11,0,0,0.0,0.0,427.58,41,1,2,0,1,not_as_described,fashion,0
250,10,1,1,0.1,0.1,1499.08,55,3,0,2,1,changed_mind,home,1
1049,13,1,2,0.07692307692307693,0.15384615384615385,740.95,44,2,0,0,1,changed_mind,fashion,0
599,17,2,0,0.11764705882352941,0.0,25150.64,32,1,1,0,0,changed_mind,grocery,1
35,8,3,1,0.375,0.125,1149.3,14,1,0,1,0,wrong_item,grocery,1
1008,21,2,0,0.09523809523809523,0.0,2757.41,31,1,2,3,0,wrong_item,home,0
796,14,1,2,0.07142857142857142,0.14285714285714285,433.02,38,1,0,3,1,changed_mind,beauty,1
956,18,4,1,0.2222222222222222,0.05555555555555555,2163.3,38,1,0,1,1,missing_item,home,0
615,13,1,1,0.07692307692307693,0.07692307692307693,904.85,22,1,2,2,1,not_as_described,electronics,0
1129,12,3,1,0.25,0.08333333333333333,2052.48,17,2,1,3,0,damaged,electronics,0
42,5,2,0,0.4,0.0,2099.33,23,2,0,1,2,damaged,beauty,0
143,11,1,1,0.09090909090909091,0.09090909090909091,4552.66,55,1,1,3,0,not_as_described,beauty,0
1128,14,0,1,0.0,0.07142857142857142,2987.29,4,1,0,1,0,damaged,grocery,0
467,13,2,2,0.15384615384615385,0.15384615384615385,531.34,26,1,1,3,1,not_as_described,beauty,0
1146,11,2,2,0.18181818181818182,0.18181818181818182,2784.15,47,1,1,1,0,not_as_described,electronics,1
663,13,4,2,0.3076923076923077,0.15384615384615385,3619.46,54,1,3,7,0,wrong_item,beauty,1
1285,10,2,4,0.2,0.4,666.25,59,1,1,1,1,changed_mind,electronics,1
203,15,0,1,0.0,0.06666666666666667,1766.42,12,1,1,2,0,missing_item,fashion,0
1105,5,1,0,0.2,0.0,935.14,6,1,2,1,0,damaged,electronics,1
933,13,4,2,0.3076923076923077,0.15384615384615385,1751.29,52,1,0,2,0,wrong_item,beauty,0
933,6,1,0,0.16666666666666666,0.0,2316.27,12,3,1,4,0,changed_mind,electronics,0
1391,8,2,1,0.25,0.125,1593.23,15,1,3,2,0,missing_item,grocery,1
760,15,1,0,0.06666666666666667,0.0,5128.22,5,1,1,0,0,damaged,fashion,0
229,15,3,0,0.2,0.0,4798.98,49,4,0,0,0,changed_mind,electronics,0
900,10,2,0,0.2,0.0,2101.02,56,1,1,1,1,damaged,beauty,0
1114,11,1,1,0.09090909090909091,0.09090909090909091,2292.92,27,2,1,3,0,missing_item,beauty,1
